asset_id,technical_name,source_ref,column_names_text,business_domain,y_pred,y_pred_alt,confidence,confidence_band,match_llm,llm_consensus_score,review_reason
1056745,SYSADM.PS_PC_CPY_PRCP_TAO,PS_PC_CPY_PRCP_TAO,ACTIVITY_ID | BUSINESS_UNIT | EFFDT | EFF_STATUS | PC_CPY_UNIQUEID | PROJECT_ID | RATE_PLAN,Finance & Contrôle,Other,IT & Sécurité,0.3576,low,0,0.5,low_model_confidence
1095433,CA_RULES_LVL,PS_CA_RULES_LVL,BUSINESS_UNIT | CA_TXN_SOURCE | CRIT_SEQ | INTER_ORG_LEVEL,Other,IT & Sécurité,Finance & Contrôle,0.3605,low,0,0.5,low_model_confidence
1021559,SYSADM.PS_CM_APRECN_TMP1,PS_CM_APRECN_TMP1,BUSINESS_UNIT_RECV | CM_AP_ERROR_OK | INV_ITEM_ID | OPRID | PROCESS_INSTANCE | RECEIVER_ID | RECV_LN_NBR | RECV_SHIP_SEQ_NBR | REQUEST_ID | RUN_CNTL_ID,Achats & Fournisseurs,Supply Chain / Logistique / Production,Finance & Contrôle,0.3618,low,0,0.5,low_model_confidence
1146041,PTIACPTMPLTFQUS,PS_PTIACPTMPLTFQUS,PTIACPCHPTRID | PTIACPFLTRQRYID | PTIACPFLTRQRYREF | PTIACPSTEPID | PTIACPSTEPRANK | PTIACPTASKID | PTIACPTMPLSTEPTYPE | PTIACPTMPLT | PTIASPTMPLTVERS,IT & Sécurité,Other,IT & Sécurité,0.3625,low,0,1.0,low_model_confidence
1068314,SYSADM.PS_PYCY_NGB1_TMP,PS_PYCY_NGB1_TMP,BUSINESS_UNIT | PAY_CYCLE | PAY_CYCLE_SEQ_NUM | PROCESS_INSTANCE,RH,Finance & Contrôle,IT & Sécurité,0.3636,low,0,0.5,low_model_confidence
1018852,SYSADM.PS_CA_RULES_LVL,PS_CA_RULES_LVL,BUSINESS_UNIT | CA_TXN_SOURCE | CRIT_SEQ | INTER_ORG_LEVEL,Other,IT & Sécurité,Finance & Contrôle,0.364,low,0,0.5,low_model_confidence
1052213,SYSADM.PS_OMC_OSCH_TAO,PS_OMC_OSCH_TAO,BUSINESS_UNIT | EXTENDED_NET_PRICE | EXT_NET_PRC_BASE | ORDER_INT_LINE_NO | ORDER_NO | PROCESS_INSTANCE | SCHED_LINE_NBR | SCHED_SHIP_DTTM,Ventes & Clients,Supply Chain / Logistique / Production,Finance & Contrôle,0.364,low,0,0.5,low_model_confidence
1154747,RTV_COMMENTS,PS_RTV_COMMENTS,ALLOW_MODIFY | APPR_JUSTIFY_FLG | ATTACH_DESCR | ATT_VERSION | BUSINESS_UNIT | COMMENT_ID | COMMENT_TYPE | FILE_EXTENSION | FILENAME | OPRID | PUBLIC_FLG | PUBLIC_FLG_ATTACH | RANDOM_CMMT_NBR | RECV_VIEW_FLG | RTV_ID | RTV_LN_NBR | SCM_ATTACH_ID | SOURCE_BU_SETID | SOURCE_FROM | SOURCE_ID | SOURCE_LINE_NBR | STATUS | VCHR_VIEW_FLG,Achats & Fournisseurs,IT & Sécurité,Achats & Fournisseurs,0.3666,low,0,0.5,low_model_confidence
1149326,PYCY_NGB1_TMP,PS_PYCY_NGB1_TMP,BUSINESS_UNIT | PAY_CYCLE | PAY_CYCLE_SEQ_NUM | PROCESS_INSTANCE,RH,Finance & Contrôle,IT & Sécurité,0.3692,low,0,0.5,low_model_confidence
1081697,SYSADM.PS_VRBT_CLAIM_ACT,PS_VRBT_CLAIM_ACT,CLAIM_ID | COMMENTS_LONG | DUE_DT | ENTERED_DT | OPRID_ENTERED_BY | OPRID_SIGNED_BY | SEQNUM | SETID | SIGNED_DT | SIGNED_OFF,RH,Finance & Contrôle,Achats & Fournisseurs,0.3737,low,0,0.5,low_model_confidence
1054055,SYSADM.PS_OM_HLDAUDIT_AET,PS_OM_HLDAUDIT_AET,ACTIVE_HOLD_DTTM | APPL_ID | BUSINESS_UNIT | DEMAND_LINE_NO | DEMAND_SOURCE | EFF_STATUS | FLAG | FROM_RECNAME | HOLD_ACTION | HOLD_CD | HOLD_LEVEL | INV_ITEM_ID | LAST_MAINT_OPRID | LASTUPDDTTM | MESSAGE_CD | ORDER_INT_LINE_NO | ORDER_NO | PASS_HOLD_CD | PASS_HOLD_LEVEL | PROCESS_INSTANCE | PROD_COMPONENT_ID | PROG_NAME | REASON_CD | RECNAME1 | SCHED_LINE_NBR | SEQ_NUM | SHIP_FROM_BU | SOURCE_BUS_UNIT | STATUS_DT | SYSTEM_MAINTAINED | TO_RECNAME | WHERE_CLAUSE1,Supply Chain / Logistique / Production,Supply Chain / Logistique / Production,IT & Sécurité,0.376,low,1,0.5,low_model_confidence
1111811,EOCM_NEWGN2_TMP,PS_EOCM_NEWGN2_TMP,CURRENCY_CD | EFFDT | EFF_STATUS | EOCM_ACCESS_ID | EOCM_CATALOG_ID | EOCM_CONVERSION_RT | EOCM_CRM_CAT_NBR | EOCM_CRM_ORDERABLE | EOCM_CRM_SERVICE | EOCM_DISCONTINU_DT | EOCM_ELM_CEU | EOCM_ELM_KEYWORDS | EOCM_ELM_NOTES | EOCM_EPRO_DESCR | EOCM_EPRO_FILENAME | EOCM_FILEEXTENSION | EOCM_FILEPATH | EOCM_ITMVPRIORITY | EOCM_LEAD_TIME | EOCM_LEARN_OBJ_ID | EOCM_MFG_ID | EOCM_MFG_PART_NUM | EOCM_MIN_QTY | EOCM_MODEL_NBR | EOCM_OFFER_ID | EOCM_OFFER_NM | EOCM_OFFER_STATE | EOCM_OFFER_STATUS | EOCM_PROD_BRAND | EOCM_PROD_KIT_FLAG | EOCM_PROP_NAME_1 | EOCM_PROP_NAME_2 | EOCM_PROP_NAME_3 | EOCM_PROP_NAME_4 | EOCM_PROP_NAME_5 | EOCM_PROP_VAL_1 | EOCM_PROP_VAL_2 | EOCM_PROP_VAL_3 | EOCM_PROP_VAL_4 | EOCM_PROP_VAL_5 | EOCM_REQUISITE_ID | EOCM_ROW_ID | EOCM_SUP_CAT_CD | EOCM_SUP_CAT_NM | EOCM_SUP_OFFER_D | EOCM_SUP_OFFER_NM | EOCM_SUP_OFFER_PR | EOCM_SUP_OFFER_SKU | EOCM_SUP_OFFER_UOM | EOCM_TP_VER_ID | EOCM_VNDR_PART_EXT | EOCM_VNDR_PART_NUM | LASTUPDDTTM | LASTUPDOPRID | MESSAGE_NBR | SETID | URL,Achats & Fournisseurs,Achats & Fournisseurs,Ventes & Clients,0.3768,low,1,0.5,low_model_confidence
1170759,WM_WO_INSPC_NOT,PS_WM_WO_INSPC_NOT,BUSINESS_UNIT | CONTACT_EMPLID | CREATED_BY_USER | CREATED_DTTM | INSP_ACTIVITY_NBR | INSPECTION_ID | NOTES | NOTE_SOURCE | REPLY_STATUS | SEQ_NBR_5 | TITLE | VISIBLE_FLG | WO_ID | WO_TASK_ID,Supply Chain / Logistique / Production,IT & Sécurité,RH,0.3791,low,0,0.5,low_model_confidence
1155081,RUN_CNTL_PBM,PS_RUN_CNTL_PBM,BUSINESS_UNIT | CURRENCY_CD | CUST_ID | DESCR | END_DATE | FO_BRANCH | NUM_HOURS | OPRID | PAY_END_DT | PAY_PERIOD | PROJECT_ID | RUN_CNTL_ID | SALES_PERSON | START_DATE | USER_ORDER_TYPE,RH,Finance & Contrôle,RH,0.3829,low,0,0.5,low_model_confidence
1111760,EOCM_GNT2_TMP,PS_EOCM_GNT2_TMP,CURRENCY_CD | EFFDT | EFF_STATUS | EOCM_ACCESS_ID | EOCM_CATALOG_ID | EOCM_CONVERSION_RT | EOCM_CRM_CAT_NBR | EOCM_CRM_ORDERABLE | EOCM_CRM_SERVICE | EOCM_DISCONTINU_DT | EOCM_ELM_CEU | EOCM_ELM_KEYWORDS | EOCM_ELM_NOTES | EOCM_EPRO_DESCR | EOCM_EPRO_FILENAME | EOCM_FILEEXTENSION | EOCM_FILEPATH | EOCM_ITMVPRIORITY | EOCM_LEAD_TIME | EOCM_LEARN_OBJ_ID | EOCM_MFG_ID | EOCM_MFG_PART_NUM | EOCM_MIN_QTY | EOCM_MODEL_NBR | EOCM_OFFER_ID | EOCM_OFFER_NM | EOCM_OFFER_STATE | EOCM_OFFER_STATUS | EOCM_PROD_BRAND | EOCM_PROD_KIT_FLAG | EOCM_PROP_NAME_1 | EOCM_PROP_NAME_2 | EOCM_PROP_NAME_3 | EOCM_PROP_NAME_4 | EOCM_PROP_NAME_5 | EOCM_PROP_VAL_1 | EOCM_PROP_VAL_2 | EOCM_PROP_VAL_3 | EOCM_PROP_VAL_4 | EOCM_PROP_VAL_5 | EOCM_REQUISITE_ID | EOCM_ROW_ID | EOCM_SUP_CAT_CD | EOCM_SUP_CAT_NM | EOCM_SUP_OFFER_D | EOCM_SUP_OFFER_NM | EOCM_SUP_OFFER_PR | EOCM_SUP_OFFER_SKU | EOCM_SUP_OFFER_UOM | EOCM_TP_VER_ID | EOCM_VNDR_PART_EXT | EOCM_VNDR_PART_NUM | LASTUPDDTTM | LASTUPDOPRID | MESSAGE_NBR | PROCESS_INSTANCE | SETID | URL,Achats & Fournisseurs,IT & Sécurité,Ventes & Clients,0.3835,low,0,0.5,low_model_confidence
1130662,OM_ADD_TAO,PS_OM_ADD_TAO,ADDRESS1 | ADDRESS2 | ADDRESS3 | ADDRESS4 | ADDRESS_SEQ_NUM | ADDR_FIELD1 | ADDR_FIELD2 | ADDR_FIELD3 | ALT_NAME1 | ALT_NAME2 | CITY | COUNTRY | COUNTRY_CODE | COUNTY | EFFDT | EFF_STATUS | EXTENSION | FAX | GEO_CODE | HOUSE_TYPE | IN_CITY_LIMIT | LAST_MAINT_OPRID | NUM1 | NUM2 | PHONE | POSTAL | PROCESS_INSTANCE | SETID | SHIP_TO_CUST_ID | STATE | TAX_CD,Ventes & Clients,Finance & Contrôle,Supply Chain / Logistique / Production,0.3849,low,0,0.5,low_model_confidence
1117201,FO_APP_ED_AREA,PS_FO_APP_ED_AREA,APPLID | AREA_OF_STDY_GRADE | AREA_OF_STUDY | DATE_ACQUIRED,RH,RH,Other,0.3878,low,1,0.5,low_model_confidence
1123521,IN_IFRT_PRPT_EC,PS_IN_IFRT_PRPT_EC,DESCR254 | DEVICE_DTTIME | EIP_TRANS_SRC_SEQ | FRT_RPT_TYPE | URL,IT & Sécurité,IT & Sécurité,Other,0.3923,low,1,0.5,low_model_confidence
1049765,SYSADM.PS_OMBCK_RLS_TAO,PS_OMBCK_RLS_TAO,BUSINESS_UNIT | BUSINESS_UNIT_IN | CUST_GROUP_FLAG | CUST_ID | CUSTOMER_GROUP | DISTRIB_SET_ID | DISTRIB_TYPE | DOC_TYPE_OM | DST_RULE_CD | EFFDT | EFF_STATUS | ORDER_GRP | PROCESS_INSTANCE | PRODUCT_GROUP | PRODUCT_GROUP_FLAG | PRODUCT_ID | REGION_CD | REGION_FLAG | SEQ_NUM | SEQUENCE_NBR,Other,IT & Sécurité,Ventes & Clients,0.3928,low,0,0.5,low_model_confidence
1073257,SYSADM.PS_SDK_RP_INPUT,PS_SDK_RP_INPUT,SDK_RP_ORDEREQDATE | SDK_RP_ORDQUANTITY | SDK_RP_PARTNAME | SDK_RP_PROMISEDATE | SDK_RP_QUERY | SDK_RP_RSERVERNAME | SDK_RP_RSERVERPORT | SDK_RP_SERVERNAME | SDK_RP_SITENAME,Supply Chain / Logistique / Production,Supply Chain / Logistique / Production,IT & Sécurité,0.393,low,1,0.5,low_model_confidence
1024854,SYSADM.PS_CS_CNT_AG,PS_CS_CNT_AG,CAT_LINE_NBR | CNTRCT_ID | CNTRCT_LINE_NBR | CS_ACT_RESULT_DATE | CS_ACT_RESULT_NUM | CS_ACT_RESULT_YN | CS_AGREE_CD | CS_AGREE_SEQ5 | CS_COMMENTS | CS_COMMENTS254 | CS_COMPLIANCE_STAT | CS_INCL_IN_CNTRCT | CS_METRIC_ID | CS_RESULT_DATE | CS_RESULT_NUMERIC | CS_RESULT_TYPE | CS_RESULT_YN | CS_SETID | CS_TARGET_DATE | CS_TOLRNCE_PERCENT | CURRENCY_CD | DESCR60 | LAST_UPDATE_DTTM | OPRID_LAST_UPDT | SETID | UNIT_OF_MEASURE | VERSION_NBR,Finance & Contrôle,Achats & Fournisseurs,Finance & Contrôle,0.3942,low,0,0.5,low_model_confidence
1100333,CS_CNT_AG,PS_CS_CNT_AG,CAT_LINE_NBR | CNTRCT_ID | CNTRCT_LINE_NBR | CS_ACT_RESULT_DATE | CS_ACT_RESULT_NUM | CS_ACT_RESULT_YN | CS_AGREE_CD | CS_AGREE_SEQ5 | CS_COMMENTS | CS_COMMENTS254 | CS_COMPLIANCE_STAT | CS_INCL_IN_CNTRCT | CS_METRIC_ID | CS_RESULT_DATE | CS_RESULT_NUMERIC | CS_RESULT_TYPE | CS_RESULT_YN | CS_SETID | CS_TARGET_DATE | CS_TOLRNCE_PERCENT | CURRENCY_CD | DESCR60 | LAST_UPDATE_DTTM | OPRID_LAST_UPDT | SETID | UNIT_OF_MEASURE | VERSION_NBR,Finance & Contrôle,Achats & Fournisseurs,Finance & Contrôle,0.395,low,0,0.5,low_model_confidence
1068268,SYSADM.PS_PYCYCL_SCHEDULE,PS_PYCYCL_SCHEDULE,PAY_CYCLE | PYCYCL_RUN_DT | PYCYCL_STATUS,Finance & Contrôle,Finance & Contrôle,IT & Sécurité,0.3979,low,1,0.5,low_model_confidence
1149146,PYCYCL_AE_RQST,PS_PYCYCL_AE_RQST,BUSINESS_UNIT | BUSINESS_UNIT_LAST | CNTRCT_ID | CNTRCT_SETID | COMMIT_STEP | COMMIT_STEP_FLG | COMMIT_TEST | DESCR | DTTM_STAMP_SEC | DUP_INVOICE_EDIT | EDIT_LOG_FLG | EDIT_STEP | GOTO_RUN_STATS | GRP_AP_ID | LAST_PRCS_INSTANCE | OPRID | ORIGIN | ORIGIN_SETID | PARALLEL_SW | PAY_CYCLE | PROCESS_APAM_OPTN | PROCESS_FREQUENCY | PROCESS_INSTANCE | PROCESS_ORIGIN | PROCESS_STATUS | PYCYCL_PROC_OPTION | REASONABLE_DT_EDIT | REQUEST_ID | RUN_CNTL_ID | VENDOR_ID | VENDOR_SETID | VOUCHER_ID,Achats & Fournisseurs,Achats & Fournisseurs,IT & Sécurité,0.3992,low,1,0.5,low_model_confidence
1130620,OI_TFLT_FUNDCD,PS_OI_TFLT_FUNDCD,FIELD_DESC | FUND_CODE | OTBI_SRC_INSTANCE | SETCNTRLVALUE | SETID | SETID_TREE | TLVL1 | TLVL10 | TLVL10_DESC | TLVL11 | TLVL11_DESC | TLVL12 | TLVL12_DESC | TLVL13 | TLVL13_DESC | TLVL14 | TLVL14_DESC | TLVL15 | TLVL15_DESC | TLVL1_DESC | TLVL2 | TLVL2_DESC | TLVL3 | TLVL3_DESC | TLVL4 | TLVL4_DESC | TLVL5 | TLVL5_DESC | TLVL6 | TLVL6_DESC | TLVL7 | TLVL7_DESC | TLVL8 | TLVL8_DESC | TLVL9 | TLVL9_DESC | TNODE1 | TNODE10 | TNODE10_DESC | TNODE11 | TNODE11_DESC | TNODE12 | TNODE12_DESC | TNODE13 | TNODE13_DESC | TNODE14 | TNODE14_DESC | TNODE15 | TNODE15_DESC | TNODE1_DESC | TNODE2 | TNODE2_DESC | TNODE3 | TNODE3_DESC | TNODE4 | TNODE4_DESC | TNODE5 | TNODE5_DESC | TNODE6 | TNODE6_DESC | TNODE7 | TNODE7_DESC | TNODE8 | TNODE8_DESC | TNODE9 | TNODE9_DESC | TREE_EFFDT | TREE_NAME | TREE_NAME_OTBI,Finance & Contrôle,Finance & Contrôle,Other,0.4004,low,1,0.5,low_model_confidence
1082240,SYSADM.PS_WM_INSP_CLC_DTL,PS_WM_INSP_CLC_DTL,CALCLT_PARM_CODE | INSP_BINARY_OPER | INSP_CONSTANT_TEXT | INSPECTION_CODE | INSP_FN_AGGREG_OPT | INSP_FN_ROWCNT_NBR | INSP_FN_ROWCNT_OPT | INSP_FUNCTION_OPT | INSP_LOGICAL_OPER | INSP_LPAREN_OPT | INSP_OPERAND_TYPE | INSP_RPAREN_OPT | SEQ_NBR_5 | SETID,IT & Sécurité,Other,Supply Chain / Logistique / Production,0.4021,low,0,0.5,low_model_confidence
1074929,SYSADM.PS_SPF_WO_APR_XREF,PS_SPF_WO_APR_XREF,BUSINESS_UNIT | COMMENTS | EOAWDEFN_ID | EOAWDTTM_MODIFIED | EOAWPARENT_THREAD | EOAWPRCS_ID | EOAWREQUESTOR_ID | EOAWTHREAD_ID | EOAWTHREAD_STATUS | ORIGINATORID | RECNAME | WORK_ORDER_ID,Supply Chain / Logistique / Production,IT & Sécurité,Supply Chain / Logistique / Production,0.4026,low,0,0.5,low_model_confidence
1071423,SYSADM.PS_RS_ASSGN_STS,PS_RS_ASSGN_STS,APPR_STATUS | ASSIGNMENT_ID | ASSIGN_STS | COMMENTS_254 | DATE_IN_EFFECT | LASTUPDDTTM | LASTUPDOPRID,RH,Other,RH,0.4031,low,0,0.5,low_model_confidence
1043522,SYSADM.PS_INTFC_APAM_RQST,PS_INTFC_APAM_RQST,BUSINESS_UNIT | BUSINESS_UNIT_LAST | CNTRCT_ID | CNTRCT_SETID | COMMIT_STEP | COMMIT_STEP_FLG | COMMIT_TEST | DTTM_STAMP_SEC | DUP_INVOICE_EDIT | EDIT_LOG_FLG | EDIT_STEP | GOTO_RUN_STATS | GRP_AP_ID | LAST_PRCS_INSTANCE | OPRID | ORIGIN | ORIGIN_SETID | PARALLEL_SW | PROCESS_INSTANCE | PROCESS_ORIGIN | PROCESS_STATUS | REASONABLE_DT_EDIT | REQUEST_ID | RUN_CNTL_ID | VENDOR_ID | VENDOR_SETID | VOUCHER_ID,Finance & Contrôle,Finance & Contrôle,IT & Sécurité,0.4091,low,1,0.5,low_model_confidence
1054881,SYSADM.PS_OM_RUN_PPRC_OUT,PS_OM_RUN_PPRC_OUT,BUSINESS_UNIT | BUSINESS_UNIT_IN | CATALOG_NBR | CUST_ID | CUSTOMER_GROUP | DESCR | EFFDT | OM_PARM_SEL_OPT | OM_PARM_SEL_TYPE | OPRID | PRICE_LIST_ID | PRODUCT_GROUP | REQUEST_ID | RUN_CNTL_ID,Ventes & Clients,IT & Sécurité,Ventes & Clients,0.4097,low,0,0.5,low_model_confidence
1135928,PI_RES_AREA_ID,PS_PI_RES_AREA_ID,AREA_ID | OLD_AREA_ID | PI_ID | PI_LINE_NUM,Achats & Fournisseurs,Other,IT & Sécurité,0.4124,low,0,0.5,low_model_confidence
1140625,PROC_PART_CF_V,PS_PROC_PART_CF_V,BUSINESS_UNIT | CHARTFIELD | CHARTFIELD_VALUE | PROC_PART_ID,Finance & Contrôle,Finance & Contrôle,IT & Sécurité,0.4134,low,1,1.0,low_model_confidence
1130948,OMB_SSRC_TAO,PS_OMB_SSRC_TAO,ACTION_FLG | BUSINESS_UNIT | DATE_BEGIN | DATE_END | EFF_STATUS | ORDER_INT_LINE_NO | ORDER_NO | PRIORITY | PRIORITY_NBR | PROCESS_INSTANCE | PRODUCT_ID | PRODUCT_KIT_FLAG | QTY_AVAILABLE | SEQ_NUM | SHIP_FROM_BU | TRFT_DISPOSITION | TRFT_PRIORITY | TRFT_RULE_CD | TRFT_SET_ID | TRFT_SRC_TYPE | TRFT_SRC_VALUE | UNIT_OF_MEASURE,Supply Chain / Logistique / Production,IT & Sécurité,Supply Chain / Logistique / Production,0.4135,low,0,0.5,low_model_confidence
